年/月,不含11.瓦片及紅磚之[磚瓦瓷類]指數,不含37.木門、38.木板之[木材及其製品類]指數,不含58.泵浦、62.感知器之[機電設備類]指數,不含72.玻璃製品之[雜項類]指數,不含99.挖土機租金、103.舖面機租金之[機具設備租金類]指數,不含11.瓦片及紅磚、37.木門、38.木板、58.泵浦、62.感知器、72.玻璃製品、99.挖土機租金、103.舖面機租金、[砂石及級配類]之總指數,11.瓦片及紅磚指數,37.木門指數,38.木板指數,58.泵浦指數,62.感知器指數,72.玻璃製品指數,99.挖土機租金指數,103.舖面機租金指數,砂石及級配類指數
110/10,100.88,103.54,103.58,100.91,102.07,103.09,101.90,102.23,103.49,104.26,102.98,102.01,100.75,100.10,100.06
110/11,100.89,104.28,105.16,101.58,102.16,103.44,101.90,102.85,105.10,104.69,102.98,107.08,101.32,100.26,100.13
110/12,100.95,104.71,105.40,102.01,102.59,103.32,102.32,104.69,105.38,104.69,104.29,107.29,101.68,100.55,100.29
111/01,101.25,105.88,106.59,102.40,103.79,103.72,105.92,104.87,106.15,104.69,105.85,107.64,102.29,102.25,100.90
111/02,101.92,106.86,107.54,103.22,104.20,104.54,107.51,105.97,107.33,105.43,105.85,107.64,102.37,102.82,101.32
111/03,103.96,107.96,109.74,105.45,106.11,107.04,109.68,106.91,108.06,106.77,109.12,108.41,102.76,103.84,102.31
111/04,103.96,109.47,111.79,106.04,106.83,109.04,109.68,106.91,108.60,109.45,116.98,113.24,102.89,103.88,102.96
111/05,104.94,111.72,112.59,106.46,107.37,109.26,110.20,107.98,109.65,110.29,119.21,113.31,102.93,104.52,103.50
111/06,105.26,112.19,111.63,108.88,107.61,109.20,110.52,108.91,110.56,111.02,119.21,113.45,103.41,104.52,103.59
111/07,105.95,112.57,111.34,109.03,107.82,108.24,110.20,107.98,110.82,111.02,119.38,113.45,103.48,107.56,103.59
111/08,106.60,112.54,109.25,109.57,108.15,107.40,110.20,108.58,110.82,111.44,119.38,113.98,103.55,108.38,103.84
111/09,106.63,112.10,110.24,109.94,108.28,108.06,110.20,109.38,109.76,111.44,119.30,113.50,103.72,109.36,104.45
111/10,106.79,111.94,110.03,108.84,108.44,107.77,110.20,109.62,111.48,111.44,119.30,113.81,103.78,110.55,104.45
111/11,107.12,112.19,110.34,108.95,108.99,107.51,110.42,111.16,109.45,112.96,119.30,114.43,103.78,110.55,104.45
111/12,107.64,112.09,111.24,109.62,108.99,108.02,110.42,111.34,108.55,112.96,119.30,114.43,103.78,110.54,104.53
112/01,107.70,111.85,111.87,110.13,109.43,108.82,110.55,111.47,107.52,112.96,119.30,114.43,103.78,110.54,104.80
112/02,107.91,110.81,112.91,110.18,110.05,109.35,110.55,112.02,107.45,112.96,119.99,115.38,104.47,110.73,104.96
